fecha,temperatura
20170107T2200,-1.2694713
20170107T2300,-1.4994713
20170108T0000,-1.3794713
20170108T0100,-1.3694713
20170108T0200,-1.2994714
20170108T0300,-1.2594713
20170108T0400,-0.9994713
20170108T0500,-0.8094713
20170108T0600,-0.7294713
20170108T0700,-0.70947134
20170108T0800,-0.7894713
20170108T0900,-0.6194713
20170108T1000,-0.23947135
20170108T1100,0.92052865
20170108T1200,1.2905287
20170108T1300,1.4205287
20170108T1400,2.3105285
20170108T1500,2.8405285
20170108T1600,2.8605285
20170108T1700,2.5505285
20170108T1800,2.1605287
20170108T1900,1.6505287
20170108T2000,1.0805286
20170108T2100,0.17052865
20170108T2200,-0.08947134
20170108T2300,-0.04947134
20170109T0000,-0.09947134
20170109T0100,-0.029471342
20170109T0200,0.30052868
20170109T0300,-0.10947134
20170109T0400,-0.71947134
20170109T0500,-1.0294713
20170109T0600,-1.2894714
20170109T0700,-1.5794713
20170109T0800,-1.7294713
20170109T0900,-1.4994713
20170109T1000,-0.26947135
20170109T1100,1.4405286
20170109T1200,2.5905285
20170109T1300,1.3305286
20170109T1400,1.9705287
20170109T1500,2.4905286
20170109T1600,2.6005285
20170109T1700,2.1305285
20170109T1800,0.9505287
20170109T1900,-0.68947136
20170109T2000,-1.1794714
20170109T2100,-0.9994713
20170109T2200,-1.0694714
20170109T2300,-0.82947135
20170110T0000,-0.19947135
20170110T0100,0.55052865
20170110T0200,0.97052866
20170110T0300,1.3505287
20170110T0400,1.5305287
20170110T0500,1.6805286
20170110T0600,1.8705287
20170110T0700,1.8305286
20170110T0800,1.9605286
20170110T0900,2.0405285
20170110T1000,3.1905286
20170110T1100,2.3205285
20170110T1200,1.9705287
20170110T1300,1.7805287
20170110T1400,2.3205285
20170110T1500,2.5905285
20170110T1600,3.0705285
20170110T1700,2.8805285
20170110T1800,2.8605285
20170110T1900,1.7005286
20170110T2000,0.5105286
20170110T2100,0.18052867
20170110T2200,0.34052867
20170110T2300,0.90052867
20170111T0000,1.6205287
20170111T0100,1.6905286
20170111T0200,1.0505286
20170111T0300,0.31052867
20170111T0400,0.5805287
